LGA code,Local Government Area,area_km2
20110,Alpine (S),4788.2
20260,Ararat (RC),4211.1
20570,Ballarat (C),739.0
20660,Banyule (C),62.5
20740,Bass Coast (S),865.8
20830,Baw Baw (S),4027.6
20910,Bayside (C),37.2
21010,Benalla (RC),2352.6
21110,Boroondara (C),60.2
21180,Brimbank (C),123.4
21270,Buloke (S),8000.4
21370,Campaspe (S),4518.9
21450,Cardinia (S),1282.6
21610,Casey (C),409.4
21670,Central Goldfields (S),1532.8
21750,Colac-Otway (S),3437.5
21830,Corangamite (S),4407.5
21890,Darebin (C),53.5
22110,East Gippsland (S),20940.2
22170,Frankston (C),129.6
22250,Gannawarra (S),3735.3
22310,Glen Eira (C),38.7
22410,Glenelg (S),6218.6
22490,Golden Plains (S),2703.4
22620,Greater Bendigo (C),3000.0
22670,Greater Dandenong (C),129.5
22750,Greater Geelong (C),1248.0
22830,Greater Shepparton (C),2421.9
22910,Hepburn (S),1473.0
22980,Hindmarsh (S),7524.2
23110,Hobsons Bay (C),64.2
23190,Horsham (RC),4266.8
23270,Hume (C),503.9
23350,Indigo (S),2040.1
23430,Kingston (C) (Vic.),91.4
23670,Knox (C),113.9
23810,Latrobe (C) (Vic.),1425.6
23940,Loddon (S),6696.4
24130,Macedon Ranges (S),1748.3
24210,Manningham (C),113.3
24250,Mansfield (S),3843.9
24330,Maribyrnong (C),31.2
24410,Maroondah (C),61.4
24600,Melbourne (C),37.4
24650,Melton (C),527.5
24780,Mildura (RC),22082.5
24850,Mitchell (S),2862.1
24900,Moira (S),4046.4
24970,Monash (C),81.5
25060,Moonee Valley (C),43.1
25150,Moorabool (S),2110.6
25250,Moreland (C),51.0
25340,Mornington Peninsula (S),724.2
25430,Mount Alexander (S),1529.6
25490,Moyne (S),5481.7
25620,Murrindindi (S),3879.8
25710,Nillumbik (S),432.3
25810,Northern Grampians (S),5729.9
25900,Port Phillip (C),20.7
25990,Pyrenees (S),3434.6
26080,Queenscliffe (B),8.6
26170,South Gippsland (S),3296.3
26260,Southern Grampians (S),6654.0
26350,Stonnington (C),25.7
26430,Strathbogie (S),3303.3
26490,Surf Coast (S),1552.9
26610,Swan Hill (RC),6115.3
26670,Towong (S),6674.9
26700,Wangaratta (RC),3645.1
26730,Warrnambool (C),120.9
26810,Wellington (S),10817.3
26890,West Wimmera (S),9108.2
26980,Whitehorse (C),64.3
27070,Whittlesea (C),489.7
27170,Wodonga (C),432.7
27260,Wyndham (C),542.1
27350,Yarra (C),19.5
27450,Yarra Ranges (S),2468.2
27630,Yarriambiack (S),7325.8